depth: sudoku
12: 578624193392..1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
13: 5786241933925.1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
10: 57862419369...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
11: 57862419369...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
12: 578624193692..1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
13: 5786241936925.1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
14: 578624193692531.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
15: 578624193692531.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
16: 57862419369253148..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
17: 57862419369253148..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
16: 57862419369253178..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
17: 57862419369253178..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
18: 578624193692531784.4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
19: 57862419369253178434.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
20: 57862419369253178434.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
21: 5786241936925317843417..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
22: 5786241936925317843417..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
23: 57862419369253178434178.6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
24: 5786241936925317843417896.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
25: 5786241936925317843417896.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
26: 578624193692531784341789625269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
27: 578624193692531784341789625269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
28: 578624193692531784341789625269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
29: 578624193692531784341789625269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
30: 578624193692531784341789625269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
31: 57862419369253178434178962526945.8.11..2.6.5......3267...84257..2.1....84.637..1.
32: 57862419369253178434178962526945.8.11..2.6.5......3267...84257..2.1....84.637..1.
